freeVarValue, median, middle 25% - lower bound, middle 25% - upper bound, middle 50% - lower bound, middle 50% - upper bound, middle 75% - lower bound, middle 75% - upper bound, middle 100% - lower bound, middle 100% - upper bound
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 1.26477, 1.1792, 1.3701, 1.06232, 1.49042, 0.91468, 1.67819, 0.436345, 2.65777
16, 4.53104, 4.26571, 4.78793, 3.9316, 5.09173, 3.49341, 5.58024, 2.022, 8.16892
24, 9.10586, 8.63222, 9.50978, 8.06044, 10.0416, 7.3108, 10.7968, 4.71041, 15.0044
32, 14.4788, 13.801, 15.0496, 13.0134, 15.748, 11.9532, 16.7779, 8.29238, 22.3624
40, 20.2473, 19.4227, 20.9243, 18.3954, 21.8361, 17.1023, 23.0916, 12.5348, 29.7637
48, 26.1861, 25.1918, 26.9905, 24.0515, 27.976, 22.5348, 29.4579, 17.2216, 36.9735
56, 32.0257, 30.9673, 32.9603, 29.6737, 34.0224, 28.0255, 35.6311, 22.168, 43.8055
64, 37.7223, 36.588, 38.7806, 35.1809, 39.8098, 33.4446, 41.6137, 27.223, 50.1327
72, 43.1705, 41.9704, 44.3018, 40.5259, 45.3413, 38.625, 47.2523, 32.0586, 55.9134
80, 48.3225, 47.0593, 49.4884, 45.5807, 50.6024, 43.5853, 52.4605, 36.5844, 61.1408
88, 53.1143, 51.831, 54.2923, 50.4097, 55.352, 48.3592, 57.3148, 40.9588, 65.8306
96, 57.5699, 56.2669, 58.7432, 54.8536, 59.7877, 52.7756, 61.6911, 45.1497, 70.0118
104, 61.6839, 60.3767, 62.7867, 58.9722, 63.8549, 56.8875, 65.7045, 49.1357, 73.7208
112, 65.418, 64.1372, 66.5082, 62.7633, 67.5927, 60.7174, 69.3709, 52.9042, 76.9974
120, 68.7955, 67.5764, 69.8937, 66.2403, 70.9301, 64.2507, 72.6286, 56.449, 79.8825
128, 71.8769, 70.7197, 72.9622, 69.4238, 73.9853, 67.4762, 75.5585, 59.7692, 82.4157
136, 74.6735, 73.5673, 75.7167, 72.3205, 76.7017, 70.4424, 78.1723, 62.8677, 84.6348
144, 77.195, 76.1395, 78.1945, 74.9322, 79.1201, 73.1712, 80.5202, 65.7501, 86.5751
152, 79.4499, 78.4748, 80.4197, 77.3227, 81.3109, 75.5827, 82.639, 68.4241, 88.2687
160, 81.4854, 80.5696, 82.4039, 79.4745, 83.2475, 77.7997, 84.4712, 70.8991, 89.7451
168, 83.298, 82.4446, 84.1461, 81.4015, 85.0058, 79.796, 86.1362, 73.1849, 91.0305
176, 84.9354, 84.1434, 85.7478, 83.1615, 86.5064, 81.6226, 87.5971, 75.2921, 92.1486
184, 86.3959, 85.6554, 87.1743, 84.7267, 87.8681, 83.2983, 88.9271, 77.2317, 93.1203
192, 87.7177, 86.9904, 88.4698, 86.1481, 89.1059, 84.7826, 90.0778, 79.0144, 93.9642
200, 88.8861, 88.2092, 89.6222, 87.4232, 90.1917, 86.1569, 91.0772, 80.6508, 94.6966
208, 89.9322, 89.3334, 90.6315, 88.5805, 91.1878, 87.3599, 91.9796, 82.1512, 95.332
216, 90.864, 90.3038, 91.5172, 89.5873, 92.0549, 88.4133, 92.7835, 83.5256, 95.8829
224, 91.7056, 91.178, 92.2986, 90.4893, 92.8076, 89.3551, 93.5015, 84.7834, 96.3604
232, 92.454, 91.9621, 93.0212, 91.3008, 93.5022, 90.2074, 94.1297, 85.9335, 96.7741
240, 93.1191, 92.6298, 93.6521, 92.0279, 94.0946, 91.0123, 94.7031, 86.9845, 97.1324
248, 93.7113, 93.2278, 94.1988, 92.6701, 94.6416, 91.7441, 95.2251, 87.9443, 97.4428
256, 94.2316, 93.7665, 94.7031, 93.2378, 95.1179, 92.3479, 95.6401, 88.8203, 97.7114
264, 94.6917, 94.2561, 95.1421, 93.7364, 95.5636, 92.9148, 96.0549, 89.6193, 97.944
272, 95.1215, 94.6813, 95.5151, 94.1634, 95.9398, 93.3947, 96.4175, 90.3479, 98.1453
280, 95.4809, 95.0725, 95.8719, 94.5511, 96.2712, 93.8184, 96.7302, 91.0119, 98.3195
288, 95.8212, 95.4047, 96.1817, 94.9092, 96.566, 94.1973, 97.0034, 91.6169, 98.4702
296, 96.1088, 95.7188, 96.4644, 95.2237, 96.8275, 94.5812, 97.2393, 92.1678, 98.6007
304, 96.3631, 95.9872, 96.7301, 95.5095, 97.0743, 94.8991, 97.4618, 92.6507, 98.7135
312, 96.5773, 96.2377, 96.9633, 95.7739, 97.2974, 95.1841, 97.6677, 93.0866, 98.8111
320, 96.7826, 96.4327, 97.157, 95.9917, 97.4856, 95.4306, 97.8605, 93.4824, 98.8955
328, 96.9846, 96.6261, 97.3392, 96.177, 97.6462, 95.6523, 98.0148, 93.8417, 98.9693
336, 97.1388, 96.8011, 97.498, 96.3614, 97.8002, 95.8371, 98.1343, 94.1678, 99.0633
344, 97.2902, 96.9403, 97.6209, 96.5073, 97.9412, 96.0145, 98.2572, 94.4525, 99.1524
352, 97.4171, 97.0903, 97.7453, 96.6369, 98.0524, 96.1664, 98.3637, 94.6647, 99.2304
360, 97.5255, 97.2096, 97.8506, 96.7758, 98.1613, 96.2877, 98.4718, 94.8558, 99.2987
368, 97.6306, 97.3219, 97.9441, 96.8971, 98.2551, 96.3788, 98.5585, 95.0165, 99.3587
376, 97.7286, 97.4209, 98.0393, 97.0102, 98.3451, 96.4823, 98.6405, 95.1538, 99.4278
384, 97.8133, 97.5039, 98.1315, 97.0951, 98.4084, 96.5786, 98.7209, 95.277, 99.4896
392, 97.8894, 97.5828, 98.2146, 97.1696, 98.4672, 96.6592, 98.7877, 95.3875, 99.5442
400, 97.9588, 97.6561, 98.2758, 97.2348, 98.5255, 96.7318, 98.8449, 95.4866, 99.5924
